date,L,rho_bar,absorption_ratio,index_vol
2008-08-15,,,,
2008-08-22,,,,
2008-08-29,,,,
2008-09-05,,,,
2008-09-12,,,,
2008-09-19,,,,
2008-09-26,,,,
2008-10-03,,,,
2008-10-10,,,,
2008-10-17,,,,
2008-10-24,,,,
2008-10-31,,,,
2008-11-07,,,,
2008-11-14,,,,
2008-11-21,,,,
2008-11-28,,,,
2008-12-05,,,,
2008-12-12,,,,
2008-12-19,,,,
2008-12-26,,,,
2009-01-02,,,,
2009-01-09,,,,
2009-01-16,,,,
2009-01-23,,,,
2009-01-30,,,,
2009-02-06,,,,
2009-02-13,,,,
2009-02-20,,,,
2009-02-27,,,,
2009-03-06,,,,
2009-03-13,,,,
2009-03-20,,,,
2009-03-27,,,,
2009-04-03,,,,
2009-04-09,,,,
2009-04-17,,,,
2009-04-24,,,,
2009-05-01,,,,
2009-05-08,,,,
2009-05-15,,,,
2009-05-22,,,,
2009-05-29,,,,
2009-06-05,,,,
2009-06-12,,,,
2009-06-19,,,,
2009-06-26,,,,
2009-07-02,,,,
2009-07-10,,,,
2009-07-17,,,,
2009-07-24,,,,
2009-07-31,,,,
2009-08-07,82.6923076923077,62.17948717948718,66.66666666666666,68.58974358974359
2009-08-14,86.62420382165605,57.961783439490446,64.3312101910828,63.05732484076433
2009-08-21,91.77215189873418,58.22784810126582,58.22784810126582,55.06329113924051
2009-08-28,91.82389937106919,56.60377358490566,58.490566037735846,50.314465408805034
2009-09-04,90.0,65.0,63.125,49.375
2009-09-11,72.67080745341616,68.32298136645963,63.35403726708074,47.82608695652174
2009-09-18,58.0246913580247,67.28395061728395,60.49382716049383,43.20987654320987
2009-09-25,47.85276073619632,68.71165644171779,54.601226993865026,40.49079754601227
2009-10-02,58.536585365853654,68.90243902439023,47.5609756097561,35.97560975609756
2009-10-09,67.27272727272727,65.45454545454545,44.24242424242424,34.54545454545455
2009-10-16,68.67469879518072,62.65060240963856,38.55421686746988,32.53012048192771
2009-10-23,72.45508982035929,62.874251497005986,33.532934131736525,31.736526946107784
2009-10-30,72.61904761904762,63.095238095238095,33.92857142857143,32.142857142857146
2009-11-06,63.31360946745562,80.4733727810651,43.19526627218935,34.9112426035503
2009-11-13,37.05882352941177,90.58823529411765,53.529411764705884,40.588235294117645
2009-11-20,21.637426900584796,91.22807017543859,53.80116959064327,40.93567251461988
2009-11-27,13.953488372093023,91.27906976744185,54.06976744186046,38.372093023255815
2009-12-04,14.450867052023122,89.59537572254335,52.601156069364166,36.41618497109826
2009-12-11,12.068965517241379,89.65517241379311,56.896551724137936,35.63218390804598
2009-12-18,12.571428571428573,88.0,57.14285714285714,34.285714285714285
2009-12-24,13.068181818181818,87.5,55.11363636363637,34.090909090909086
2009-12-31,13.559322033898304,87.00564971751412,54.23728813559322,33.33333333333333
2010-01-08,14.04494382022472,78.08988764044943,43.82022471910113,31.46067415730337
2010-01-15,44.134078212290504,71.50837988826815,32.402234636871505,29.608938547486037
2010-01-22,58.333333333333336,71.66666666666667,32.22222222222222,30.0
2010-01-29,58.5635359116022,68.50828729281768,30.386740331491712,30.386740331491712
2010-02-05,30.21978021978022,67.58241758241759,31.318681318681318,29.120879120879124
2010-02-12,15.846994535519126,61.74863387978142,31.693989071038253,28.96174863387978
2010-02-19,14.130434782608695,61.95652173913043,32.065217391304344,29.347826086956523
2010-02-26,14.594594594594595,64.86486486486487,35.67567567567568,29.72972972972973
2010-03-05,21.50537634408602,65.59139784946237,39.247311827956985,28.49462365591398
2010-03-12,27.27272727272727,68.44919786096256,39.57219251336899,28.342245989304814
2010-03-19,27.659574468085108,70.74468085106383,40.95744680851064,28.191489361702125
2010-03-26,28.04232804232804,70.8994708994709,43.386243386243386,28.04232804232804
2010-04-01,40.0,70.0,43.684210526315795,27.89473684210526
2010-04-09,38.7434554973822,70.15706806282722,47.64397905759162,27.748691099476442
2010-04-16,52.604166666666664,72.39583333333334,52.083333333333336,27.083333333333332
2010-04-23,34.715025906735754,69.94818652849742,52.331606217616574,26.94300518134715
2010-04-30,14.432989690721648,67.5257731958763,46.391752577319586,26.804123711340207
2010-05-07,14.871794871794872,66.15384615384615,46.666666666666664,27.17948717948718
2010-05-14,15.306122448979592,66.3265306122449,48.46938775510204,28.061224489795915
2010-05-21,55.83756345177665,79.69543147208121,73.09644670050761,38.578680203045685
2010-05-28,72.22222222222221,92.42424242424242,87.37373737373737,55.55555555555556
2010-06-04,72.36180904522614,93.96984924623115,90.45226130653266,65.82914572864321
2010-06-11,40.5,95.5,93.5,73.5
2010-06-18,16.91542288557214,98.00995024875621,97.01492537313433,78.1094527363184
2010-06-25,15.346534653465346,98.51485148514851,98.51485148514851,78.71287128712872
2010-07-02,15.763546798029557,100.0,99.01477832512316,79.3103448275862
2010-07-09,16.176470588235293,100.0,100.0,79.90196078431373
2010-07-16,20.975609756097562,100.0,100.0,80.48780487804879
2010-07-23,25.728155339805824,100.0,100.0,81.06796116504854
2010-07-30,54.106280193236714,100.0,100.0,81.15942028985508
2010-08-06,71.63461538461539,100.0,100.0,80.28846153846155
2010-08-13,71.77033492822966,99.04306220095694,98.56459330143541,78.4688995215311
2010-08-20,62.38095238095238,98.09523809523809,97.61904761904762,75.71428571428571
2010-08-27,53.55450236966824,97.1563981042654,97.1563981042654,74.40758293838863
2010-09-03,44.81132075471698,96.69811320754717,96.22641509433963,68.86792452830188
2010-09-10,39.436619718309856,93.42723004694837,89.2018779342723,61.97183098591549
2010-09-17,39.719626168224295,90.18691588785047,87.85046728971963,56.54205607476636
2010-09-24,33.02325581395349,88.83720930232558,86.51162790697674,54.88372093023256
2010-10-01,22.22222222222222,87.5,85.18518518518519,52.77777777777778
2010-10-08,20.276497695852534,86.17511520737328,83.87096774193549,46.54377880184332
2010-10-15,20.642201834862387,85.3211009174312,82.56880733944955,41.74311926605505
2010-10-22,27.397260273972602,83.56164383561644,79.90867579908677,35.15981735159817
2010-10-29,43.18181818181818,81.81818181818183,75.9090909090909,32.27272727272727
2010-11-05,47.05882352941176,78.73303167420815,73.30316742081448,30.316742081447963
2010-11-12,47.2972972972973,72.52252252252252,64.86486486486487,26.576576576576578
2010-11-19,56.95067264573991,69.50672645739911,51.569506726457405,24.2152466367713
2010-11-26,58.92857142857143,67.85714285714286,43.30357142857143,24.107142857142858
2010-12-03,74.66666666666667,60.44444444444444,34.66666666666667,23.11111111111111
2010-12-10,74.77876106194691,56.63716814159292,31.41592920353982,19.02654867256637
2010-12-17,69.60352422907489,55.50660792951542,29.955947136563875,18.94273127753304
2010-12-23,51.75438596491229,55.26315789473685,28.947368421052634,18.421052631578945
2010-12-31,50.65502183406113,42.35807860262008,23.580786026200872,17.46724890829694
2011-01-07,50.8695652173913,32.608695652173914,16.52173913043478,14.782608695652174
2011-01-14,51.082251082251084,30.735930735930733,16.017316017316016,13.852813852813853
2011-01-21,40.94827586206897,31.03448275862069,15.086206896551724,13.793103448275861
2011-01-28,74.2489270386266,30.472103004291846,15.450643776824036,14.163090128755366
2011-02-04,67.09401709401709,29.48717948717949,14.957264957264957,14.957264957264957
2011-02-11,59.57446808510638,28.085106382978726,15.319148936170212,15.319148936170212
2011-02-18,59.7457627118644,18.220338983050848,13.559322033898304,13.559322033898304
2011-02-25,14.345991561181433,17.72151898734177,12.658227848101266,12.236286919831224
2011-03-04,14.705882352941178,17.22689075630252,13.025210084033615,12.605042016806722
2011-03-11,15.062761506276152,17.573221757322173,14.225941422594143,12.97071129707113
2011-03-18,15.416666666666668,18.75,17.083333333333332,15.0
2011-03-25,15.767634854771783,22.821576763485478,22.821576763485478,20.33195020746888
2011-04-01,16.115702479338843,28.92561983471074,28.09917355371901,23.553719008264462
2011-04-08,16.46090534979424,30.45267489711934,29.629629629629626,24.691358024691358
2011-04-15,16.80327868852459,30.737704918032787,32.37704918032787,25.0
2011-04-21,27.755102040816325,31.020408163265305,36.3265306122449,25.30612244897959
2011-04-29,36.58536585365854,32.113821138211385,39.43089430894309,23.983739837398375
2011-05-06,50.20242914979757,34.41295546558704,44.534412955465584,23.076923076923077
2011-05-13,50.403225806451616,35.483870967741936,46.774193548387096,23.790322580645164
2011-05-20,61.044176706827315,36.54618473895582,50.602409638554214,21.686746987951807
2011-05-27,42.0,36.8,50.8,22.0
2011-06-03,19.9203187250996,38.24701195219124,53.38645418326693,21.51394422310757
2011-06-10,42.46031746031746,38.095238095238095,43.65079365079365,19.841269841269842
2011-06-17,61.6600790513834,38.73517786561265,42.68774703557312,18.57707509881423
2011-06-24,90.15748031496062,39.37007874015748,53.14960629921261,19.291338582677163
2011-07-01,94.90196078431372,39.6078431372549,54.11764705882353,19.607843137254903
2011-07-08,96.875,45.3125,69.921875,22.65625
2011-07-15,98.44357976653697,58.36575875486382,77.04280155642024,30.739299610894943
2011-07-22,98.44961240310077,61.627906976744185,79.45736434108527,32.945736434108525
2011-07-29,97.68339768339769,63.32046332046332,80.6949806949807,34.36293436293436
2011-08-05,93.46153846153847,71.15384615384616,82.3076923076923,36.15384615384615
2011-08-12,88.50574712643679,85.82375478927203,86.20689655172413,44.44444444444444
2011-08-19,64.50381679389314,97.32824427480917,99.23664122137404,77.86259541984732
2011-08-26,21.292775665399237,100.0,100.0,85.93155893536122
2011-09-02,15.909090909090908,100.0,100.0,85.98484848484848
2011-09-09,16.22641509433962,99.24528301886792,100.0,86.41509433962264
2011-09-16,16.541353383458645,98.87218045112782,100.0,86.8421052631579
2011-09-23,16.853932584269664,99.25093632958801,100.0,86.89138576779027
2011-09-30,22.388059701492537,100.0,100.0,86.94029850746269
2011-10-07,22.676579925650557,100.0,100.0,87.36059479553904
2011-10-14,24.444444444444443,100.0,100.0,87.4074074074074
2011-10-21,18.81918819188192,100.0,100.0,87.4538745387454
2011-10-28,16.911764705882355,99.26470588235294,99.63235294117648,87.86764705882352
2011-11-04,17.216117216117215,99.26739926739927,99.63369963369964,87.91208791208791
2011-11-11,17.51824817518248,95.98540145985402,97.08029197080292,85.03649635036497
2011-11-18,17.81818181818182,96.0,95.63636363636364,82.54545454545455
2011-11-25,18.115942028985508,96.37681159420289,95.28985507246377,82.2463768115942
2011-12-02,18.4115523465704,99.63898916967509,95.66787003610109,81.94945848375451
2011-12-09,18.705035971223023,100.0,95.68345323741008,81.65467625899281
2011-12-16,18.996415770609318,100.0,95.3405017921147,81.36200716845879
2011-12-23,19.28571428571429,100.0,94.64285714285714,80.35714285714286
2011-12-30,19.572953736654807,100.0,93.59430604982207,79.7153024911032
2012-01-06,19.858156028368796,100.0,93.26241134751773,79.43262411347519
2012-01-13,31.448763250883395,100.0,92.93286219081273,77.03180212014135
2012-01-20,31.690140845070424,99.64788732394366,92.6056338028169,75.35211267605634
2012-01-27,33.68421052631579,98.59649122807016,92.28070175438596,74.03508771929825
2012-02-03,24.825174825174827,97.55244755244755,91.95804195804196,70.62937062937063
2012-02-10,19.860627177700348,96.16724738675958,90.2439024390244,65.1567944250871
2012-02-17,25.34722222222222,90.27777777777779,88.54166666666666,56.25
2012-02-24,23.52941176470588,87.5432525951557,82.69896193771626,47.05882352941176
2012-03-02,37.24137931034483,81.37931034482759,78.27586206896552,39.6551724137931
2012-03-09,56.3573883161512,76.97594501718214,68.38487972508591,31.27147766323024
2012-03-16,52.054794520547944,54.794520547945204,42.12328767123288,19.52054794520548
2012-03-23,62.45733788395904,37.54266211604095,24.573378839590443,15.017064846416384
2012-03-30,78.57142857142857,27.55102040816326,15.98639455782313,11.224489795918368
2012-04-05,90.84745762711864,22.033898305084744,12.203389830508476,8.47457627118644
2012-04-13,90.87837837837837,22.2972972972973,12.5,8.783783783783784
2012-04-20,87.87878787878788,27.609427609427613,16.161616161616163,10.437710437710438
2012-04-27,83.55704697986577,34.22818791946309,27.516778523489933,14.429530201342283
2012-05-04,83.61204013377926,36.12040133779264,36.45484949832776,16.05351170568562
2012-05-11,89.33333333333333,38.333333333333336,42.0,18.333333333333332
2012-05-18,89.3687707641196,38.87043189368771,46.84385382059801,19.93355481727575
2012-05-25,69.20529801324503,39.735099337748345,51.98675496688742,21.192052980132452
2012-06-01,42.244224422442244,41.914191419141915,57.0957095709571,23.1023102310231
2012-06-08,42.43421052631579,45.39473684210527,63.48684210526315,31.57894736842105
2012-06-15,73.11475409836066,48.85245901639344,66.88524590163935,34.42622950819672
2012-06-22,82.6797385620915,59.150326797385624,72.54901960784314,37.254901960784316
2012-06-29,86.31921824104235,68.07817589576547,75.57003257328991,39.73941368078176
2012-07-06,94.15584415584416,69.8051948051948,77.59740259740259,42.532467532467535
2012-07-13,99.02912621359224,69.90291262135922,79.28802588996764,43.36569579288026
2012-07-20,99.03225806451613,67.0967741935484,79.35483870967742,43.54838709677419
2012-07-27,97.42765273311898,67.20257234726688,79.7427652733119,43.729903536977496
2012-08-03,92.62820512820514,69.23076923076923,78.2051282051282,44.871794871794876
2012-08-10,86.5814696485623,71.24600638977637,77.31629392971246,45.68690095846645
2012-08-17,76.11464968152866,71.3375796178344,77.38853503184714,45.85987261146497
2012-08-24,49.2063492063492,67.3015873015873,76.19047619047619,43.80952380952381
2012-08-31,34.49367088607595,66.77215189873418,75.9493670886076,40.50632911392405
2012-09-07,28.391167192429023,65.61514195583597,72.87066246056783,36.27760252365931
2012-09-14,34.276729559748425,64.15094339622641,68.23899371069182,32.075471698113205
2012-09-21,34.48275862068966,62.38244514106584,65.51724137931035,31.661442006269592
2012-09-28,40.9375,47.8125,60.0,25.3125
2012-10-05,41.1214953271028,32.398753894081,47.0404984423676,17.75700934579439
2012-10-12,45.962732919254655,31.05590062111801,25.465838509316768,14.906832298136646
2012-10-19,31.269349845201237,30.340557275541798,16.718266253869967,13.003095975232199
2012-10-26,33.95061728395062,29.01234567901235,16.358024691358025,12.345679012345679
2012-11-02,61.53846153846154,24.0,15.384615384615385,11.384615384615385
2012-11-09,59.8159509202454,23.006134969325153,12.576687116564417,11.65644171779141
2012-11-16,59.9388379204893,23.24159021406728,12.232415902140673,13.149847094801222
2012-11-23,32.6219512195122,26.21951219512195,12.5,18.29268292682927
2012-11-30,17.62917933130699,30.3951367781155,13.37386018237082,21.88449848024316
2012-12-07,17.87878787878788,30.606060606060602,13.636363636363635,23.333333333333332
2012-12-14,41.69184290030212,29.909365558912388,12.084592145015106,23.564954682779458
2012-12-21,49.39759036144578,27.10843373493976,10.843373493975903,21.084337349397593
2012-12-28,61.86186186186187,27.32732732732733,11.11111111111111,21.02102102102102
2013-01-04,59.88023952095808,28.443113772455092,12.574850299401197,23.353293413173652
2013-01-11,62.38805970149254,38.2089552238806,17.91044776119403,27.46268656716418
2013-01-18,72.91666666666666,52.083333333333336,19.940476190476193,31.845238095238095
2013-01-25,72.10682492581603,52.22551928783383,21.068249258160236,32.047477744807125
2013-02-01,61.53846153846154,55.02958579881657,21.005917159763314,25.443786982248522
2013-02-08,34.51327433628318,50.737463126843664,19.469026548672566,24.188790560471976
2013-02-15,29.117647058823533,47.05882352941176,15.588235294117647,18.823529411764707
2013-02-22,19.941348973607038,38.41642228739003,10.263929618768328,13.196480938416421
2013-03-01,17.543859649122805,38.59649122807017,10.526315789473683,13.450292397660817
2013-03-08,20.408163265306122,39.650145772594755,14.285714285714285,13.702623906705538
2013-03-15,31.686046511627907,47.383720930232556,23.837209302325583,16.27906976744186
2013-03-22,55.072463768115945,47.53623188405797,28.695652173913043,16.52173913043478
2013-03-28,55.202312138728324,45.08670520231214,28.901734104046245,15.31791907514451
2013-04-05,55.3314121037464,34.87031700288185,24.495677233429394,11.239193083573488
2013-04-12,71.55172413793103,25.862068965517242,24.71264367816092,8.620689655172415
2013-04-19,69.34097421203438,26.07449856733524,27.22063037249284,8.882521489971348
2013-04-26,69.42857142857143,35.14285714285714,58.57142857142858,12.571428571428573
2013-05-03,61.82336182336182,60.3988603988604,75.78347578347578,22.507122507122507
2013-05-10,44.88636363636363,60.51136363636363,77.55681818181817,23.011363636363637
2013-05-17,30.02832861189802,56.94050991501416,77.62039660056658,23.229461756373937
2013-05-24,30.225988700564972,49.717514124293785,76.55367231638418,20.903954802259886
2013-05-31,34.08450704225352,36.33802816901409,72.3943661971831,18.87323943661972
2013-06-07,38.764044943820224,32.02247191011236,71.62921348314607,19.101123595505616
2013-06-14,68.0672268907563,32.212885154061624,71.70868347338936,20.448179271708682
2013-06-21,73.74301675977654,40.22346368715084,77.37430167597765,27.932960893854748
2013-06-28,73.81615598885793,56.824512534818936,80.50139275766016,37.60445682451253
2013-07-05,50.83333333333333,62.77777777777778,82.5,40.833333333333336
2013-07-12,45.42936288088642,62.880886426592795,82.54847645429363,40.99722991689751
2013-07-19,35.91160220994475,42.26519337016575,77.62430939226519,38.39779005524862
2013-07-26,32.231404958677686,29.201101928374655,67.76859504132231,30.02754820936639
2013-08-02,32.417582417582416,27.747252747252748,63.46153846153846,28.021978021978022
2013-08-09,46.849315068493155,28.493150684931507,61.369863013698634,27.397260273972602
2013-08-16,46.72131147540984,26.775956284153008,59.83606557377049,27.322404371584703
2013-08-23,46.049046321525886,28.882833787465938,59.945504087193456,27.520435967302454
2013-08-30,16.57608695652174,29.891304347826086,62.22826086956522,26.358695652173914
2013-09-06,16.802168021680217,28.184281842818425,62.33062330623306,26.287262872628723
2013-09-13,47.56756756756757,26.486486486486488,62.43243243243243,20.81081081081081
2013-09-20,72.50673854447439,21.024258760107816,54.71698113207547,16.442048517520217
2013-09-27,80.3763440860215,13.440860215053762,36.29032258064516,7.795698924731183
2013-10-04,79.62466487935657,12.064343163538874,25.46916890080429,5.898123324396782
2013-10-11,91.71122994652407,12.299465240641712,25.668449197860966,6.149732620320856
2013-10-18,88.26666666666667,15.466666666666667,38.13333333333333,7.733333333333333
2013-10-25,45.47872340425532,23.404255319148938,51.329787234042556,11.170212765957446
2013-11-01,59.15119363395226,23.607427055702917,51.45888594164456,12.9973474801061
2013-11-08,59.25925925925925,26.984126984126984,47.883597883597886,13.492063492063492
2013-11-15,86.54353562005277,23.7467018469657,43.79947229551451,13.192612137203167
2013-11-22,96.84210526315789,22.36842105263158,41.31578947368421,12.631578947368421
2013-11-29,97.9002624671916,22.57217847769029,40.419947506561684,11.023622047244094
2013-12-06,98.69109947643979,20.680628272251308,37.43455497382199,10.471204188481675
2013-12-13,98.69451697127938,19.321148825065272,33.15926892950392,10.704960835509137
2013-12-20,97.13541666666666,19.53125,30.729166666666668,11.197916666666668
2013-12-27,95.84415584415584,18.961038961038962,26.233766233766232,11.428571428571429
2014-01-03,93.52331606217616,18.911917098445596,24.352331606217618,11.658031088082902
2014-01-10,90.43927648578811,14.987080103359174,19.896640826873384,9.819121447028424
2014-01-17,80.15463917525774,11.597938144329897,11.855670103092782,6.443298969072164
2014-01-24,80.20565552699229,11.568123393316196,10.796915167095115,6.683804627249357
2014-01-31,85.8974358974359,11.794871794871794,11.025641025641026,8.461538461538462
2014-02-07,92.07161125319693,13.299232736572892,15.856777493606138,13.299232736572892
2014-02-14,92.09183673469387,19.897959183673468,21.428571428571427,20.918367346938776
2014-02-21,88.54961832061069,27.480916030534353,29.262086513994912,24.93638676844784
2014-02-28,76.90355329949239,27.66497461928934,29.441624365482234,25.380710659898476
2014-03-07,46.58227848101266,29.873417721518987,30.126582278481013,25.569620253164555
2014-03-14,28.78787878787879,27.02020202020202,29.545454545454547,26.767676767676768
2014-03-21,15.869017632241814,25.188916876574307,30.478589420654913,26.952141057934508
2014-03-28,16.08040201005025,23.618090452261306,32.41206030150754,26.633165829145728
2014-04-04,16.290726817042607,23.55889724310777,30.32581453634085,26.81704260651629
2014-04-11,16.5,23.75,30.5,28.499999999999996
2014-04-17,23.690773067331673,31.92019950124688,39.900249376558605,34.413965087281795
2014-04-25,23.88059701492537,32.83582089552239,44.527363184079604,34.57711442786069
2014-05-02,24.069478908188586,33.002481389578165,44.66501240694789,34.7394540942928
2014-05-09,16.584158415841586,15.841584158415841,30.445544554455445,21.534653465346533
2014-05-16,16.790123456790123,11.11111111111111,21.23456790123457,13.333333333333334
2014-05-23,16.995073891625616,10.098522167487685,21.428571428571427,12.561576354679804
2014-05-30,17.1990171990172,10.073710073710075,21.867321867321866,11.793611793611793
2014-06-06,20.34313725490196,10.294117647058822,22.794117647058822,11.76470588235294
2014-06-13,24.205378973105134,10.268948655256724,22.982885085574573,10.024449877750612
2014-06-20,33.41463414634146,9.75609756097561,18.536585365853657,8.780487804878048
2014-06-27,36.982968369829685,9.732360097323602,16.78832116788321,7.0559610705596105
2014-07-03,42.71844660194174,9.70873786407767,16.74757281553398,6.067961165048544
2014-07-11,41.404358353510894,9.200968523002421,15.980629539951574,5.326876513317192
2014-07-18,46.13526570048309,8.937198067632849,10.869565217391305,4.830917874396135
2014-07-25,43.373493975903614,7.951807228915662,7.228915662650602,3.3734939759036147
2014-08-01,37.019230769230774,8.173076923076923,7.451923076923077,3.6057692307692304
2014-08-08,37.170263788968825,9.59232613908873,8.872901678657074,5.275779376498801
2014-08-15,32.77511961722488,9.808612440191387,8.373205741626794,5.980861244019139
2014-08-22,33.65155131264916,10.26252983293556,9.307875894988067,6.205250596658711
2014-08-29,33.80952380952381,10.476190476190476,8.333333333333332,6.428571428571428
2014-09-05,33.966745843230406,9.97624703087886,8.551068883610451,6.175771971496437
2014-09-12,37.91469194312796,9.715639810426541,9.47867298578199,6.398104265402843
2014-09-19,51.536643026004725,9.692671394799055,10.874704491725769,6.1465721040189125
2014-09-26,66.50943396226415,9.90566037735849,11.084905660377359,6.367924528301887
2014-10-03,66.58823529411765,12.23529411764706,15.294117647058824,7.529411764705881
2014-10-10,66.66666666666666,13.145539906103288,20.187793427230048,10.328638497652582
2014-10-17,66.7447306791569,16.39344262295082,30.913348946135834,18.969555035128806
2014-10-24,84.11214953271028,19.859813084112147,46.26168224299065,32.00934579439252
2014-10-31,87.17948717948718,23.076923076923077,51.515151515151516,38.22843822843823
2014-11-07,87.20930232558139,18.83720930232558,52.093023255813954,40.69767441860465
2014-11-14,80.97447795823666,18.793503480278424,52.204176334106734,40.835266821345705
2014-11-21,62.03703703703704,17.36111111111111,48.148148148148145,39.81481481481482
2014-11-28,40.877598152424945,16.397228637413395,47.11316397228637,39.03002309468822
2014-12-05,31.105990783410135,14.976958525345621,46.54377880184332,39.1705069124424
2014-12-12,31.724137931034484,14.25287356321839,48.735632183908045,39.54022988505747
2014-12-19,32.56880733944954,14.449541284403669,51.60550458715596,44.03669724770643
2014-12-26,33.63844393592677,16.475972540045767,51.029748283752866,48.970251716247134
2015-01-02,48.17351598173516,16.666666666666664,48.858447488584474,50.456621004566216
2015-01-09,53.75854214123007,15.717539863325742,42.8246013667426,50.56947608200456
2015-01-16,75.0,13.40909090909091,42.95454545454545,48.63636363636364
2015-01-23,75.05668934240363,12.244897959183673,43.08390022675737,46.48526077097506
2015-01-30,68.55203619909503,12.44343891402715,45.92760180995475,46.60633484162896
2015-02-06,68.62302483069978,12.866817155756207,55.07900677200903,47.855530474040634
2015-02-13,72.2972972972973,13.963963963963963,62.16216216216216,51.126126126126124
2015-02-20,87.64044943820225,14.831460674157304,66.51685393258427,53.48314606741573
2015-02-27,88.56502242152466,15.695067264573993,66.59192825112108,53.81165919282511
2015-03-06,89.26174496644296,17.225950782997764,68.0089485458613,54.138702460850105
2015-03-13,89.28571428571429,18.080357142857142,65.17857142857143,54.01785714285714
2015-03-20,83.29621380846325,18.262806236080177,60.35634743875279,53.67483296213808
2015-03-27,80.66666666666666,14.222222222222221,60.0,52.44444444444445
2015-04-02,69.17960088691795,12.638580931263856,58.31485587583148,48.33702882483371
2015-04-10,69.02654867256636,11.946902654867257,47.78761061946903,47.78761061946903
2015-04-17,80.5739514348786,11.037527593818984,40.618101545253865,42.384105960264904
2015-04-24,86.34361233480176,9.030837004405285,37.88546255506608,37.00440528634361
2015-05-01,94.28571428571428,9.010989010989011,35.824175824175825,30.32967032967033
2015-05-08,94.2982456140351,8.114035087719298,24.780701754385966,23.24561403508772
2015-05-15,94.09190371991247,8.096280087527353,18.818380743982495,21.663019693654267
2015-05-22,80.34934497816593,7.860262008733625,18.5589519650655,21.397379912663755
2015-05-29,40.95860566448802,8.49673202614379,19.389978213507625,22.22222222222222
2015-06-05,18.043478260869566,8.043478260869565,18.043478260869566,22.39130434782609
2015-06-12,18.22125813449024,7.592190889370933,18.004338394793926,18.872017353579178
2015-06-19,30.303030303030305,7.142857142857142,14.71861471861472,14.71861471861472
2015-06-26,30.45356371490281,7.127429805615551,12.526997840172784,10.799136069114471
2015-07-02,26.50862068965517,7.327586206896551,12.71551724137931,10.991379310344827
2015-07-10,42.1505376344086,8.172043010752688,15.698924731182796,11.612903225806452
2015-07-17,63.73390557939914,10.944206008583691,24.463519313304722,17.811158798283262
2015-07-24,54.17558886509636,11.349036402569594,33.190578158458244,21.841541755888652
2015-07-31,54.27350427350427,11.538461538461538,38.675213675213676,22.00854700854701
2015-08-07,15.13859275053305,11.513859275053305,38.37953091684435,20.8955223880597
2015-08-14,15.319148936170212,11.48936170212766,46.38297872340426,20.425531914893615
2015-08-21,15.498938428874734,11.67728237791932,46.496815286624205,20.59447983014862
2015-08-28,15.677966101694915,14.194915254237289,62.28813559322034,33.89830508474576
2015-09-04,15.856236786469344,29.809725158562365,81.3953488372093,60.46511627906976
2015-09-11,16.033755274261605,57.383966244725734,89.87341772151899,73.20675105485233
2015-09-18,16.210526315789473,67.15789473684211,92.84210526315789,76.84210526315789
2015-09-25,16.386554621848738,67.85714285714286,92.85714285714286,77.94117647058823
