,realized_vol,mean_corr,absorption,skew,absr_autocorr
2007-05-10,0.006496866035671961,0.05639577474898782,0.89661442392178,-1.279256268452041,0.2412934642362993
2007-05-11,0.006691942416766532,0.05936304570579617,0.9041009664083514,-1.2414041974229448,0.2553366009803236
2007-05-14,0.006780526567898527,0.06778217864789564,0.9052484528545611,-1.1910521129309404,0.24938069362631196
2007-05-15,0.006708558196751184,0.0728958626919629,0.9046572247275704,-1.1766162504565936,0.24901475777658125
2007-05-16,0.006670901586179304,0.07046909909775903,0.9042247719392594,-1.1696453668888118,0.25917041543511116
2007-05-17,0.006703492469722363,0.06543355502775572,0.9034886049891437,-1.157258564426264,0.2733025470597234
2007-05-18,0.006755432346544677,0.06872378026173726,0.9072666375291741,-1.1665283674942528,0.27187064479941825
2007-05-21,0.006737969882076917,0.06428612054865687,0.9036194714563754,-1.169546084909701,0.2709356313334957
2007-05-22,0.0066979787986619094,0.06586017741263947,0.8992780030753404,-1.1255437093497187,0.37297401892640164
2007-05-23,0.006693138694978214,0.06835759503163041,0.8994295154562265,-0.2714721662460381,0.3593990582006048
2007-05-24,0.0066169250309860515,0.0673071354886254,0.8989606756698786,-0.24653753596315933,0.31523667460810806
2007-05-25,0.006718227771798936,0.07470707173366792,0.9018273828373521,-0.31505446820182115,0.29929312363776656
2007-05-29,0.006690890438065162,0.07568134348094588,0.902643124082198,-0.2606533644196288,0.19779154992767425
2007-05-30,0.006829242822181703,0.0682755220925221,0.9060694323983299,0.06299889931098378,-0.03869543212427952
2007-05-31,0.006828241787341361,0.0756375265555078,0.9005533605610849,-0.5576600056534077,0.0006028228957322713
2007-06-01,0.006808124039278742,0.07391954392464846,0.9020224625120334,-0.5561675200200478,0.012749086566227818
2007-06-04,0.006853745027555154,0.06786385118150605,0.9023091319010402,-0.5640085108954489,0.008045965554691134
2007-06-05,0.0068043521950337214,0.07234757582363761,0.8995923051756356,-0.5649125452571382,0.010663995956202241
